Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,11.172855,11.214964,11.035300,11.186892,2.487109,10242229
1996-01-02,11.172855,11.214964,10.951082,10.979155,2.440924,16954313
1996-01-03,10.979155,11.229000,10.951082,10.981962,2.441549,13514114
1996-01-04,10.807913,10.807913,10.386825,10.633863,2.364158,34785820
1996-01-05,10.504730,10.555260,10.316644,10.423319,2.317350,30138033
1996-01-08,10.358753,10.386825,9.943280,10.033112,2.230597,36752157
1996-01-09,9.825375,10.069606,9.825375,9.985388,2.219986,36964108
1996-01-10,9.985388,10.176281,9.825375,9.932051,2.208128,35923053
1996-01-11,9.937665,10.215583,9.903978,10.165052,2.259931,27719296
1996-01-12,10.165052,10.325066,10.063991,10.125751,2.251193,31593194
1996-01-15,10.063991,10.181896,10.019075,10.041533,2.232469,13352034
1996-01-16,10.041533,10.106100,9.943280,10.021883,2.228101,19465667
1996-01-17,9.937665,10.010654,9.628868,9.682205,2.152582,25512510
1996-01-18,9.547457,9.614831,9.320070,9.477276,2.107021,31930712
1996-01-19,9.362179,9.510963,9.320070,9.395866,2.088922,20078367
1996-01-22,9.488505,9.581144,9.390251,9.494120,2.110766,15288982
1996-01-23,9.418324,9.533421,8.983200,9.117948,2.027134,16752158
1996-01-24,9.117948,10.325066,8.842838,8.994429,1.999673,20708877
1996-01-25,8.983200,9.014080,8.744584,8.800729,1.956610,15920383
1996-01-26,8.800729,8.800729,8.800729,8.800729,1.956610,0
1996-01-29,8.705282,9.263925,8.705282,9.202166,2.045858,32353724
1996-01-30,9.376215,9.544650,9.095490,9.280769,2.063334,32019768
1996-01-31,9.320070,9.713085,9.249889,9.373408,2.083930,34765337
1996-02-01,9.294805,9.614831,9.294805,9.583952,2.130738,18475375
1996-02-02,9.783266,10.400861,9.656940,10.282957,2.286143,39733722
1996-02-05,10.723695,11.341290,10.302608,10.684394,2.375392,68921537
1996-02-06,10.751768,10.807913,9.600795,9.780459,2.174426,40024042
1996-02-07,9.780459,10.330680,9.628868,10.165052,2.259931,45350428
1996-02-08,10.218390,11.700618,10.190318,11.641666,2.588217,114509743
1996-02-09,12.408045,12.520335,11.849403,12.321021,2.739253,119682955
1996-02-12,12.065561,12.267683,11.453580,11.627630,2.585096,83759011
1996-02-13,11.565870,11.874668,11.358134,11.633244,2.586344,72385781
1996-02-14,12.071175,12.464190,11.846595,11.961693,2.659366,67257097
1996-02-15,11.678160,12.211538,11.593943,11.796065,2.622543,55699524
1996-02-16,11.734305,11.734305,11.481653,11.549027,2.567620,36118975
1996-02-19,11.678160,11.843788,11.565870,11.619208,2.583224,24685188
1996-02-20,11.619208,11.636052,11.018456,11.172855,2.483988,35231986
1996-02-21,11.172855,11.172855,11.172855,11.172855,2.483988,0
1996-02-22,11.425508,11.734305,11.425508,11.675353,2.595706,32953956
1996-02-23,11.650088,11.728691,11.442351,11.574292,2.573238,29080949
1996-02-26,11.624823,12.009416,11.588328,11.644473,2.588840,70008010
1996-02-27,11.666931,11.666931,11.369363,11.456388,2.547025,40272505
1996-02-28,11.734305,11.812908,11.543412,11.568678,2.571989,33926438
1996-02-29,11.484460,11.509725,10.709659,10.835985,2.409095,67024663
1996-03-01,10.973540,11.057758,10.757382,10.959504,2.436556,56079789
1996-03-04,10.948275,11.052143,10.779840,10.903359,2.424073,36523285
1996-03-05,10.903359,10.903359,10.903359,10.903359,2.424073,0
1996-03-06,10.976348,11.158819,10.937046,11.105481,2.469010,24779586
1996-03-07,11.150397,11.307603,10.976348,11.024071,2.450911,32271794
1996-03-08,10.948275,11.004420,10.821949,10.970733,2.439052,24870423
1996-03-11,10.807913,10.920203,10.642285,10.760189,2.392244,32018877
1996-03-12,10.779840,10.791069,9.828182,10.611405,2.359165,22942379
1996-03-13,10.751768,11.074602,10.678779,11.032493,2.452783,35833998
1996-03-14,11.032493,11.195313,10.880901,10.920203,2.427818,32372426
1996-03-15,10.906166,10.970733,10.653514,10.690008,2.376641,33239823
1996-03-18,10.583333,10.664743,10.218390,10.249270,2.278654,35009348
1996-03-19,10.221197,10.358753,9.600795,9.805724,2.180043,31957429
1996-03-20,9.805724,9.805724,9.805724,9.805724,2.180043,0
1996-03-21,10.134173,10.499115,10.134173,10.414898,2.315478,23555969
1996-03-22,10.316644,10.364367,10.063991,10.249270,2.278654,28958053
1996-03-25,10.386825,10.830371,10.367174,10.555260,2.346683,61991268
1996-03-26,10.558067,10.995998,10.524380,10.841600,2.410343,77170713
1996-03-27,11.116710,11.324447,11.040914,11.141976,2.477123,54386851
1996-03-28,11.172855,11.310411,11.172855,11.276724,2.507081,25451953
1996-03-29,11.229000,11.318832,11.018456,11.077409,2.462769,28306169
1996-04-01,11.172855,11.273916,11.068987,11.220579,2.494599,30881643
1996-04-02,11.229000,11.481653,11.172855,11.271109,2.505832,52862228
1996-04-03,11.565870,11.703426,11.453580,11.481653,2.552642,43350250
